id,generation,lobe,radius,x1,y1,z1,x2,y2,z2
2549,11,2,0.45868293904524066,92.4929,79.8517,91.0241,93.9644,79.4444,88.9662
2550,11,2,0.44498772691071287,92.4929,79.8517,91.0241,97.622,82.1469,93.0978
2521,11,2,0.45868282178433745,56.2732,96.7829,110.922,51.4877,93.4567,107.626
2522,11,2,0.444987526895823,56.2732,96.7829,110.922,50.9958,98.4801,110.719
2530,11,2,0.4727993647828856,65.125,61.632,85.7713,67.9547,65.6825,91.8358
2531,11,2,0.4586835210916412,65.125,61.632,85.7713,65.1461,58.9173,83.6037
909,11,4,0.8290919474537812,221.192,61.5181,187.679,221.672,58.3387,185.337
912,11,4,0.8043382744369963,221.192,61.5181,187.679,223.645,63.0178,190.082
916,11,4,0.8043376602706045,215.322,56.2202,191.612,210.713,48.6591,192.256
919,11,4,0.780322613297549,215.322,56.2202,191.612,216.166,53.9908,196.253
1010,11,4,0.5246227334945611,257.168,117.907,193.97,253.096,117.483,196.198
1011,11,4,0.5089594965188428,257.168,117.907,193.97,260.551,120.225,196.29
981,11,4,0.7803204730240972,203.594,50.5144,172.413,206.456,44.7189,170.273
988,11,4,0.7570230141695965,203.594,50.5144,172.413,198.214,43.6835,172.959
2488,11,2,0.47279893817486424,54.3469,83.3574,123.161,54.6869,80.6595,122.28
2489,11,2,0.458682722173384,54.3469,83.3574,123.161,51.5767,82.673,125.67
2501,11,2,0.4873503618197565,93.3812,93.0085,110.598,86.6716,90.6602,109.178
2502,11,2,0.47279955756952385,93.3812,93.0085,110.598,96.8076,92.5254,110.553
2509,11,2,0.4586825987252177,97.2935,102.567,114.814,101.612,105.627,118.448
2510,11,2,0.44498759464134835,97.2935,102.567,114.814,101.992,105.069,114.924
2514,11,2,0.4727996803462138,62.284,95.9588,116.232,64.787,94.059,115.206
2515,11,2,0.45868288584500366,62.284,95.9588,116.232,55.9248,95.6744,116.049
2517,11,2,0.45868328272904924,67.9947,101.753,120.527,78.2942,105.799,125.034
2518,11,2,0.4449878538745957,67.9947,101.753,120.527,60.686,102.72,120.586
966,11,4,0.804336010125901,196.336,57.2305,177.883,194.51,62.2215,178.506
973,11,4,0.7803211331667087,196.336,57.2305,177.883,189.985,51.0124,180.981
1052,11,4,0.6197730783819737,186.594,72.3414,204.867,180.422,69.0522,207.337
1055,11,4,0.6012679228438484,186.594,72.3414,204.867,184.732,69.5657,202.467
2148,11,3,0.46825268124256036,92.3674,113.752,113.727,91.4368,114.463,119.487
2149,11,3,0.45427180049360366,92.3674,113.752,113.727,92.4731,109.326,109.849
1305,11,4,0.5333996050685085,205.02,144.919,256.276,202.745,141.083,264.093
1320,11,4,0.5174735944193305,205.02,144.919,256.276,200.277,146.807,257.402
2480,11,2,0.5023489494439822,57.1017,79.7953,113.613,58.478,77.8414,113.514
2481,11,2,0.4873511474708799,57.1017,79.7953,113.613,56.2993,78.529,111.766
2483,11,2,0.4873504388145928,52.3474,84.4322,115.309,51.529,87.2027,115.748
2484,11,2,0.47279956480320734,52.3474,84.4322,115.309,48.0399,83.5101,114.367
1000,11,4,0.5574121778421587,244.243,113.254,185.996,240.163,112.063,188.75
1001,11,4,0.5407690844279825,244.243,113.254,185.996,241.978,113.433,184.726
1003,11,4,0.5407692368963087,255.867,115.718,180.764,262.082,117.941,178.068
1004,11,4,0.5246230774112197,255.867,115.718,180.764,256.121,115.562,177.969
1007,11,4,0.5407692089239399,264.183,118.527,188.925,267.921,120.12,185.682
1008,11,4,0.5246230313378425,264.183,118.527,188.925,266.86,119.034,190.348
2154,11,3,0.46888101507106594,80.4148,118.213,119.301,81.4802,120.541,121.804
2155,11,3,0.45488137559319386,80.4148,118.213,119.301,80.2125,116.949,122.296
2157,11,3,0.4548808189432395,76.2133,114.31,112.781,75.6854,109.793,111.325
2158,11,3,0.4412992759288867,76.2133,114.31,112.781,72.7701,113.795,113.498
2164,11,3,0.4240564259081892,57.6122,139.418,128.143,60.6019,139.606,127.43
2165,11,3,0.41139610016641925,57.6122,139.418,128.143,55.5184,142.237,130.434
2140,11,3,0.4975190644371857,96.6179,124.293,110.076,95.0799,126.723,107.888
